Fiscal_Year,Power_Division_Budget_TkCr,Total_Transmission_ckm,Installed_Generation_MW,Peak_Demand_MW,Total_Budget_TkCr,Energy_Division_Budget_TkCr,Power_ADP_Allocation_TkCr,Power_ADP_Expenditure_TkCr,Transmission_400kV_ckm,Transmission_230kV_ckm,Transmission_132kV_ckm,Substation_230_132_Count,Substation_230_132_MVA,Substation_132_33_Count,Substation_132_33_MVA,Electricity_Consumption_GWh,Transmission_Loss_Percent,Source_Document,Source_URL,Annual_Budget_Growth_Percent,Transmission_Added_ckm,Annual_Transmission_Growth_Percent,Total_Substation_MVA,MVA_Added,Annual_MVA_Growth_Percent,Annual_Peak_Demand_Growth_Percent,Annual_Generation_Growth_Percent,Budget_Per_ckm,Budget_Per_MVA,Grid_Expansion_Per_Tk,MVA_Expansion_Per_Tk,Budget_Elasticity,Weighted_Grid_Index,Weighted_Grid_Growth_Percent,Weighted_Grid_Index_Change,Budget_Index,Transmission_Index,Substation_MVA_Index
FY2011,4914,8396,7296,4890,132170,,,,,,,,,,,,,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,,,,,,,,,0.5852787041448309,,,,,0.0,,,100.0,100.0,
FY2012,6777,8469,8716,6066,163589,,,,,,,,,,,,,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,37.91208791208791,73.0,0.8694616484040019,,,,24.049079754601223,19.462719298245613,0.8002125398512221,,0.010771727903202006,,0.02293362608833744,0.0,,0.0,137.9120879120879,100.869461648404,
FY2013,8206,8805,9151,6434,191738,,,,,,,,,,,,,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,21.086026265309133,336.0,3.967410556145934,,,,6.066600725354432,4.99082147774208,0.9319704713231118,,0.040945649524738,,0.18815354331001397,0.0,,0.0,166.992266992267,104.87136731777036,
FY2014,9405,9308,10416,7356,222491,,,,164.7,3066.0,6195.0,,,,,,,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,14.6112600536193,503.0,5.712663259511652,,,,14.330121230960513,13.823625833242259,1.0104211431027073,,0.05348219032429559,,0.39097676987116453,12821.1,inf,12821.1,191.3919413919414,110.86231538828014,
FY2015,11540,9662,11534,7817,250506,,,,,,,,,,,,,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,22.700691121743755,354.0,3.8031800601632915,,,,6.266992930940729,10.733486943164362,1.1943696957151728,,0.030675909878682843,,0.1675358710343595,0.0,-100.0,-12821.1,234.83923483923485,115.07860886136257,
FY2016,16485,9892,12780,9036,295100,,,,220.7,3171.45,6311.63,,,,,,,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,42.850953206239176,230.0,2.3804595321879507,,,,15.594217730587179,10.802843766256288,1.6664981803477557,,0.013952077646345162,,0.055552078870473094,13316.630000000001,inf,13316.630000000001,335.47008547008545,117.81800857551215,
FY2017,14948,10436,13555,9479,340605,,,,,,,,,,,,,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,-9.32362754018805,544.0,5.499393449251921,,,,4.902611775121746,6.0641627543035925,1.4323495592180913,,0.03639282847203639,,-0.5898340989649832,0.0,-100.0,-13316.630000000001,304.1921041921042,124.29728442115294,
FY2018,21118,11123,15953,10958,400266,,,,,,,,,,,,,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,41.27642493979127,687.0,6.582981985435032,,,,15.602911699546373,17.690888970859465,1.8985885102939855,,0.03253148972440572,,0.15948527507015053,0.0,,0.0,429.7517297517298,132.47975226298237,
FY2019,22936,11650,18961,12893,464573,,,,,,,,,,,,,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,8.608769769864576,527.0,4.737930414456537,,,,17.658331812374527,18.855387701372784,1.968755364806867,,0.022976979420997558,,0.550360915800292,0.0,,0.0,466.7480667480668,138.7565507384469,
FY2020,26058,12283,20383,12738,523190,2480.0,24804.0,,861.0,3500.0,7758.0,,,,,,,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,13.611789326822453,633.0,5.43347639484979,,,,-1.202202745675951,7.499604451242026,2.1214686965724985,,0.024291964080128944,,0.3991742940175364,17341.0,inf,17341.0,530.2808302808303,146.29585516912815,
FY2021,26758,12836,22031,13792,568000,,26758.0,,,,,,16085.0,,29204.0,,3.0,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,2.686315143142215,553.0,4.502157453390865,45289.0,,,8.274454388444031,8.08516901339351,2.0846057961981925,0.5908277948287664,0.020666716496001197,,1.6759602702922776,0.0,-100.0,-17341.0,544.5258445258445,152.88232491662697,100.0
FY2022,25398,13412,22482,14782,603681,1018.0,25398.0,,1735.0,4043.0,8186.0,27.0,15225.0,125.0,,,,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,-5.08259212198221,576.0,4.487379245870993,15225.0,-30064.0,-66.38256530283292,7.178074245939681,2.047115428260171,1.893677303906949,1.6681773399014779,0.022678951098511695,-1.183715253169541,-0.882891866625118,21477.0,inf,21477.0,516.8498168498169,159.74273463554073,33.617434697167084
FY2023,26066,14457,24911,15648,678064,1143.0,,,1735.0,4043.0,8186.0,,,,,,3.15,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,2.6301283565635103,1045.0,7.791529973158373,,,,5.858476525503997,10.804198914687312,1.8030020059486753,,0.04009053939998465,,2.9624143451837766,21477.0,0.0,0.0,530.4436304436305,172.18913768461172,
FY2024,33825,15246,27138,16477,761785,994.0,,,3155.0,5129.79,9287.0,36.0,24275.0,150.0,33185.0,,3.22,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,29.766745952581907,789.0,5.457563809919064,57460.0,,,5.297801635991828,8.939825779776012,2.2186147186147185,0.5886703793943613,0.023325942350332595,,0.18334432049149416,29011.58,35.08208781487172,7534.580000000002,688.3394383394384,181.58646974749882,126.87407538254323
FY2025,29230,15680,27725,16487,797000,1087.0,29177.0,,,,,,,,,,,Ministry of Finance Budget Briefs & PGCB Annual Reports,https://mof.gov.bd/ & https://www.pgcb.gov.bd/,-13.584626755358464,434.0,2.846648301193766,,,,0.06069065970746301,2.1630186454418165,1.8641581632653061,,0.01484775915155662,,-0.20954924654598286,0.0,-100.0,-29011.58,594.8310948310948,186.75559790376371,
